conversation_id,user_id,session_id,timestamp,channel,language,device,user_type,conversation_turn,previous_utterance,utterance,extracted_entities,intent,topic_category,sentiment,urgency,bot_response,previous_bot_response,suggested_action,is_escalated,escalation_priority,confidence_score,response_time_ms
conv_709,user_9416,sess_1028,2025-10-09T12:25:16.447944,web,en,mobile,returning,1,,product specs,{},product_inquiry,product,negative,high,I apologize for any confusion. I want to make sure you have all the information you need — what specifically were you looking for?,,fetch_product_details,yes,P1,0.9306962692422144,627
conv_1452,user_7377,sess_1030,2026-01-01T12:25:16.472643,web,en,desktop,new,1,,best stocks to buy,{},out_of_scope,out_of_scope,positive,high,"Good question, but that's outside what I can assist with right now. Is there anything else I can help you with today?",,request_clarification,no,P4,0.956508311200359,574
conv_1106,user_9322,sess_1039,2025-11-30T12:25:16.461247,chat,en,tablet,new,1,,issue is fixed thanks,{},thanks,conversation_flow,neutral,high,Happy to help! Is there anything else you need today?,,check_if_resolved,no,P4,0.9503441323752414,1033
conv_1481,user_5242,sess_1043,2026-04-27T15:50:30.118650,email,en,tablet,new,1,,order ORD-893894 status,{"order_id": "ORD-893894"},order_status,order_management,positive,low,Great news — your order has been dispatched and is on its way! You should receive it soon.,,lookup_order_by_id,no,P4,0.82,550
conv_206,user_2024,sess_1053,2025-09-06T12:25:16.430989,chat,en,desktop,returning,1,,recall package,{},cancellation,order_management,negative,medium,I understand your frustration and I apologize. Let me cancel this order right away and arrange for any refund due.,,check_cancellation_eligibility,no,P3,0.8556962029512611,1807
conv_1137,user_3042,sess_1061,2026-02-02T12:25:16.462375,web,en,mobile,returning,1,,five star service,{},thanks,conversation_flow,neutral,low,No problem at all! Feel free to ask if you need anything else.,,check_if_resolved,no,P4,0.9343549266667568,1416
conv_871,user_3784,sess_1067,2025-10-05T12:25:16.453061,chat,en,tablet,returning,1,,my experience was terrible,{},feedback,feedback_and_general,positive,low,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,,log_feedback_ticket,no,P4,0.814993245979794,810
conv_912,user_7775,sess_1067,2026-01-01T12:25:16.454381,mobile_app,en,mobile,new,2,my experience was terrible,overall experience,{},feedback,feedback_and_general,negative,medium,I'm sorry the experience didn't meet your expectations. We value your feedback and will use it to make things better.,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,log_feedback_ticket,no,P3,0.9557515865327472,679
conv_983,user_5721,sess_1075,2026-03-31T12:25:16.456664,email,en,tablet,new,1,,what do you do,{},greeting,conversation_flow,positive,high,Hi there! Welcome to our support service. What can I help you with?,,present_main_menu,no,P4,0.925911062768334,804
conv_1284,user_5534,sess_1081,2026-04-12T12:25:16.467137,mobile_app,en,desktop,new,1,,this is urgent,{},human_agent,escalation,neutral,medium,I understand you'd like to speak with a human agent. I'm transferring you now — please hold.,,transfer_to_live_agent,yes,P2,0.9623708377594594,1438
conv_1063,user_8522,sess_1084,2026-01-31T12:25:16.459260,email,en,mobile,new,1,,all sorted,{},goodbye,conversation_flow,positive,low,It was a pleasure assisting you! Have a wonderful day and feel free to reach out anytime.,,close_session,no,P4,0.8911857871424743,1409
conv_593,user_6046,sess_1092,2025-04-30T12:25:16.444045,web,en,desktop,new,1,,restore account,{},account_help,account,positive,low,"Happy to assist! Are you looking to reset your password, update your details, or something else?",,authenticate_and_load_account,no,P4,0.9342784996403004,537
conv_173,user_4406,sess_1094,2025-09-23T12:25:16.429888,mobile_app,en,mobile,returning,1,,exchange for store credit for ORD-207777,{"order_id": "ORD-207777"},return_refund,order_management,positive,medium,"Happy to assist with your return! Once processed, refunds typically appear within 5–7 business days.",,initiate_return_flow,no,P3,0.9774023092759404,1513
conv_1429,user_9899,sess_1095,2026-01-07T12:25:16.471907,email,en,mobile,new,1,,recommend a book,{},out_of_scope,out_of_scope,neutral,low,"I'm not sure I can help with that specific request. I'm best equipped to assist with orders, accounts, and product queries.",,request_clarification,no,P4,0.9945773049286954,1980
conv_1248,user_1022,sess_1102,2025-10-24T12:25:16.466002,mobile_app,en,tablet,returning,1,,in store pickup,{},shipping_info,order_management,neutral,medium,"Here's our shipping info: standard delivery takes 3–5 business days, and express takes 1–2 business days.",,fetch_shipping_rates,no,P3,0.8555029131339416,1590
conv_426,user_3626,sess_1108,2025-05-27T12:25:16.438350,web,en,desktop,new,1,,your site is not working,{},technical_support,technical,neutral,medium,"To diagnose the problem, could you let me know when the issue started and what error message you see?",,run_diagnostic_check,no,P3,0.9290828203317072,1157
conv_365,user_8805,sess_1111,2025-12-24T12:25:16.436351,email,en,mobile,new,1,,checkout payment error,{},billing_issue,billing_and_payments,neutral,high,"Let me check your account. To verify your identity, could you confirm the email address on file?",,review_billing_account,no,P4,0.7621290598482295,1427
conv_180,user_4196,sess_1116,2026-02-27T12:25:16.430124,chat,en,tablet,new,1,,false advertising,{},return_refund,order_management,negative,high,That's really not the experience we want you to have. Let me get your refund sorted out right away.,,initiate_return_flow,yes,P1,0.7639812861321449,628
conv_1068,user_7513,sess_1122,2026-02-27T12:25:16.459424,chat,en,desktop,returning,1,,nothing further,{},goodbye,conversation_flow,neutral,low,Take care! Don't hesitate to contact us again in the future.,,close_session,no,P4,0.9216359098093097,794
conv_215,user_4198,sess_1131,2025-05-20T12:25:16.431287,mobile_app,en,desktop,new,1,,cancel before it ships,{"action": "cancel"},cancellation,order_management,positive,medium,"No problem! If your order hasn't been dispatched yet, I can cancel it right now. Could you confirm the order number?",,check_cancellation_eligibility,no,P3,0.8949520365524295,749
conv_98,user_1507,sess_1133,2026-03-31T12:25:16.427244,email,en,tablet,returning,1,,my order ORD-608537 return my item,"{""order_id"": ""ORD-608537"", ""action"": ""refund""}",return_refund,order_management,neutral,medium,Our return window is 30 days from delivery. I'll need your order number to look up the details.,,initiate_return_flow,no,P3,0.8686037792356726,1771
conv_663,user_5621,sess_1140,2025-10-10T12:25:16.446477,web,en,desktop,returning,1,,after hours appointment,{},appointment_booking,scheduling,neutral,medium,I'll check the schedule. Could you confirm the service you need and your preferred appointment time?,,check_availability_calendar,no,P3,0.793616104674398,1480
conv_759,user_4425,sess_1140,2025-10-31T12:25:16.449536,web,en,tablet,returning,2,after hours appointment,cruelty free,{},product_inquiry,product,negative,high,I'm sorry if the product information wasn't clear. Let me provide you with accurate and complete details right now.,I'll check the schedule. Could you confirm the service you need and your preferred appointment time?,fetch_product_details,yes,P1,0.831113052737747,1679
conv_93,user_3684,sess_1145,2025-09-23T12:25:16.427063,chat,en,mobile,new,1,,order not delivered,{},order_status,order_management,positive,high,Your order is in transit and looking good! Would you like the tracking link sent to your email?,,lookup_order_by_id,no,P4,0.8328062475905518,1964
conv_1322,user_3348,sess_1164,2025-09-01T12:25:16.468329,web,en,tablet,new,1,,call center,{},human_agent,escalation,neutral,high,Connecting you to a human agent. Please hold on while I transfer the conversation.,,transfer_to_live_agent,yes,P1,0.8123269637613943,1074
conv_440,user_6937,sess_1165,2026-01-08T12:25:16.438802,web,en,mobile,returning,1,,white screen,{},technical_support,technical,neutral,high,Let me look into that technical problem. Can you confirm the device type and operating system you're using?,,run_diagnostic_check,no,P4,0.9479489709190102,759
conv_411,user_4252,sess_1174,2025-08-12T12:25:16.437874,web,en,desktop,returning,1,,cant sign in,{},technical_support,technical,neutral,high,Let me look into that technical problem. Can you confirm the device type and operating system you're using?,,run_diagnostic_check,no,P4,0.89027332551016,512
conv_1336,user_3152,sess_1189,2026-04-17T12:25:16.468771,chat,en,mobile,returning,1,,i need this escalated,{},human_agent,escalation,neutral,medium,Connecting you to a human agent. Please hold on while I transfer the conversation.,,transfer_to_live_agent,yes,P2,0.916447142975464,776
conv_1123,user_4977,sess_1191,2026-01-05T12:25:16.461867,web,en,desktop,new,1,,a thousand thanks,{},thanks,conversation_flow,positive,medium,Thank you for the kind words! Always happy to help. Is there anything else?,,check_if_resolved,no,P3,0.8109443151336879,1773
conv_1052,user_7247,sess_1191,2026-01-23T12:25:16.458901,chat,en,desktop,returning,2,a thousand thanks,until we meet again,{},goodbye,conversation_flow,negative,low,I'm sorry your experience wasn't better. Please reach out again — we'll prioritize your case.,Thank you for the kind words! Always happy to help. Is there anything else?,close_session,no,P4,0.9913705614533456,1620
conv_580,user_6527,sess_1196,2025-06-07T12:25:16.443308,chat,en,tablet,returning,1,,verify new email,{},account_help,account,negative,medium,I'm sorry you're having trouble with your account. Let me prioritize getting this resolved for you right away.,,authenticate_and_load_account,no,P3,0.8983620729790267,505
conv_797,user_2500,sess_1199,2026-04-19T12:25:16.450739,email,en,desktop,returning,1,,cheaper alternative,{},product_inquiry,product,neutral,medium,Let me look that up for you. Could you share the product name or item code?,,fetch_product_details,no,P3,0.8866741538000558,1264
conv_481,user_5803,sess_1205,2025-05-27T12:25:16.440114,web,en,desktop,returning,1,,system outage,{},technical_support,technical,positive,low,Let's get that sorted! Have you tried restarting the app or clearing your cache? That resolves most common issues.,,run_diagnostic_check,no,P4,0.8634311777822021,1799
conv_369,user_7965,sess_1229,2025-04-28T12:25:16.436482,chat,en,tablet,returning,1,,all my cards are being declined,{},billing_issue,billing_and_payments,neutral,high,"Let me check your account. To verify your identity, could you confirm the email address on file?",,review_billing_account,no,P4,0.7187502885576422,846
conv_54,user_9236,sess_1229,2025-10-27T12:25:16.425188,email,en,desktop,new,2,all my cards are being declined,says delivered but not here,{},order_status,order_management,negative,medium,I sincerely apologize for the inconvenience. I can see there may be a delay. Let me escalate this to ensure it's resolved quickly.,"Let me check your account. To verify your identity, could you confirm the email address on file?",lookup_order_by_id,no,P3,0.8164965111282975,1952
conv_281,user_3197,sess_1232,2025-11-23T12:25:16.433427,chat,en,desktop,returning,1,,wrong charge,{},billing_issue,billing_and_payments,negative,low,I'm sorry about this billing problem. I'm reviewing your account urgently and will follow up with a resolution.,,review_billing_account,no,P4,0.809046351891296,1636
conv_1420,user_8954,sess_1244,2025-05-02T12:25:16.471612,mobile_app,en,desktop,returning,1,,make me laugh,{},out_of_scope,out_of_scope,negative,high,"I'm sorry about that. While I can't assist with this specific topic, I want to make sure your issue gets resolved.",,request_clarification,yes,P1,0.8211460634993663,1051
conv_1174,user_2583,sess_1246,2025-12-06T12:25:16.463642,web,en,tablet,new,1,,how much is shipping,{},shipping_info,order_management,negative,high,I'm sorry you're having trouble with shipping. Let me look into the details of your delivery right away.,,fetch_shipping_rates,yes,P1,0.8471445757425109,1526
conv_454,user_7150,sess_1253,2025-10-18T12:25:16.439252,web,en,desktop,returning,1,,firefox not working,{},technical_support,technical,neutral,low,"To diagnose the problem, could you let me know when the issue started and what error message you see?",,run_diagnostic_check,no,P4,0.7633160148874125,1088
conv_722,user_5991,sess_1258,2025-09-05T12:25:16.448364,email,en,tablet,new,1,,what does this product do,{},product_inquiry,product,negative,medium,I apologize for any confusion. I want to make sure you have all the information you need — what specifically were you looking for?,,fetch_product_details,no,P3,0.7414922249242859,1573
conv_453,user_2693,sess_1258,2025-11-20T12:25:16.439220,chat,en,mobile,returning,2,what does this product do,chrome not working,{},technical_support,technical,neutral,medium,Let me look into that technical problem. Can you confirm the device type and operating system you're using?,I apologize for any confusion. I want to make sure you have all the information you need — what specifically were you looking for?,run_diagnostic_check,no,P3,0.9834545032377636,1206
conv_1094,user_7400,sess_1258,2026-04-01T12:25:16.460722,email,en,mobile,new,3,chrome not working,thanks a lot,{},thanks,conversation_flow,neutral,medium,No problem at all! Feel free to ask if you need anything else.,Let me look into that technical problem. Can you confirm the device type and operating system you're using?,check_if_resolved,no,P3,0.9767700455040584,1708
conv_1087,user_8243,sess_1267,2025-07-03T12:25:16.460083,mobile_app,en,mobile,returning,1,,grateful,{},thanks,conversation_flow,neutral,medium,Happy to help! Is there anything else you need today?,,check_if_resolved,no,P3,0.938823820571388,679
conv_497,user_1599,sess_1276,2025-07-06T12:25:16.440627,chat,en,tablet,new,1,,update email account ACC-113744,{},account_help,account,neutral,high,Let me verify your identity first. Could you please confirm the email address associated with your account?,,authenticate_and_load_account,no,P4,0.9137435987207586,1574
conv_1238,user_6590,sess_1277,2025-06-01T12:25:16.465683,mobile_app,en,tablet,new,1,,my order ORD-899656 resend shipping confirmation,{"order_id": "ORD-899656"},shipping_info,order_management,neutral,medium,Shipping costs vary based on weight and destination. I can provide an exact quote if you share your delivery address.,,fetch_shipping_rates,no,P3,0.8640425134098682,582
conv_606,user_9468,sess_1297,2025-05-21T12:25:16.444547,chat,en,desktop,new,1,,appointment availability,{},appointment_booking,scheduling,negative,low,I understand your frustration. Let me personally arrange this appointment for you right now.,,check_availability_calendar,no,P4,0.7660366063632892,1557
conv_847,user_5626,sess_1303,2026-01-14T12:25:16.452307,mobile_app,en,mobile,new,1,,i have a suggestion,{},feedback,feedback_and_general,negative,high,I'm sorry the experience didn't meet your expectations. We value your feedback and will use it to make things better.,,log_feedback_ticket,yes,P1,0.7529222357537287,1860
conv_491,user_8853,sess_1304,2025-10-02T12:25:16.440431,mobile_app,en,tablet,returning,1,,reset password,{},account_help,account,neutral,medium,I'll help you with your account. What specific action do you need to take?,,authenticate_and_load_account,no,P3,0.784280567789365,863
conv_738,user_4048,sess_1312,2025-09-27T12:25:16.448875,web,en,mobile,new,1,,best product for,{},product_inquiry,product,neutral,low,Let me look that up for you. Could you share the product name or item code?,,fetch_product_details,no,P4,0.8732544835659715,1985
conv_85,user_3577,sess_1314,2025-04-30T12:25:16.426754,web,en,mobile,returning,1,,half my order is missing,{},order_status,order_management,neutral,medium,I've located your order. It's currently being prepared for shipping. You'll get a notification once it's dispatched.,,lookup_order_by_id,no,P3,0.9212015223770432,1655
conv_1254,user_2383,sess_1314,2025-08-14T12:25:16.466189,chat,en,desktop,new,2,half my order is missing,my order ORD-267926 safe place delivery,{"order_id": "ORD-267926"},shipping_info,order_management,negative,high,I apologize for the shipping inconvenience. I'm checking on the delay and will get back to you shortly.,I've located your order. It's currently being prepared for shipping. You'll get a notification once it's dispatched.,fetch_shipping_rates,yes,P1,0.7060402006761158,1816
conv_1004,user_4080,sess_1327,2026-03-11T12:25:16.457346,chat,en,desktop,new,1,,hello i am a new customer,{},greeting,conversation_flow,negative,low,Hello! I understand you may be frustrated. I'm here to help and I'll do everything I can to sort this out.,,present_main_menu,no,P4,0.9326985969768622,1946
conv_346,user_8956,sess_1330,2026-03-21T12:25:16.435729,web,en,mobile,returning,1,,i dont recognize this charge,{},billing_issue,billing_and_payments,neutral,low,"Let me check your account. To verify your identity, could you confirm the email address on file?",,review_billing_account,no,P4,0.9483309676819832,1486
conv_448,user_5446,sess_1333,2025-11-14T12:25:16.439061,web,en,mobile,returning,1,,website looks wrong,{},technical_support,technical,negative,low,I apologize for the trouble you're having. I'm going to connect you with a specialist who can resolve this quickly.,,run_diagnostic_check,no,P4,0.7200186517394075,1542
conv_141,user_4244,sess_1334,2025-07-29T12:25:16.428785,email,en,tablet,returning,1,,i want my money back,{"action": "refund"},return_refund,order_management,neutral,low,I can assist you with a return or refund. Please share your order number and reason for return so I can proceed.,,initiate_return_flow,no,P4,0.7742035458595142,695
conv_921,user_1642,sess_1356,2025-05-01T12:25:16.454670,chat,en,desktop,returning,1,,how to submit a complaint,{},feedback,feedback_and_general,neutral,low,I appreciate you letting us know. Your feedback has been logged and will be shared with the relevant team.,,log_feedback_ticket,no,P4,0.9505995935049212,616
conv_570,user_9123,sess_1356,2025-05-24T12:25:16.442963,email,en,desktop,returning,2,how to submit a complaint,lost backup codes,{},account_help,account,positive,low,Of course! Let me bring up your account. What do you need help with today?,I appreciate you letting us know. Your feedback has been logged and will be shared with the relevant team.,authenticate_and_load_account,no,P4,0.722555424180087,983
conv_1428,user_3470,sess_1356,2025-09-26T12:25:16.471874,web,en,tablet,returning,3,lost backup codes,best book to read,{},out_of_scope,out_of_scope,positive,high,"Good question, but that's outside what I can assist with right now. Is there anything else I can help you with today?",Of course! Let me bring up your account. What do you need help with today?,request_clarification,no,P4,0.886630404489499,1065
conv_105,user_8878,sess_1358,2026-01-05T12:25:16.427496,mobile_app,en,tablet,returning,1,,i want to return,{"action": "refund"},return_refund,order_management,neutral,low,Our return window is 30 days from delivery. I'll need your order number to look up the details.,,initiate_return_flow,no,P4,0.9100380316664088,1328
conv_43,user_1610,sess_1359,2025-12-11T12:25:16.424834,web,en,mobile,new,1,,my package hasnt shown up,{},order_status,order_management,positive,high,Great news — your order has been dispatched and is on its way! You should receive it soon.,,lookup_order_by_id,no,P4,0.857331253648127,1232
conv_1303,user_7318,sess_1369,2026-01-21T12:25:16.467731,chat,en,tablet,returning,1,,contact support,{},human_agent,escalation,positive,medium,Of course! I'll connect you to a live agent right away. Please hold for just a moment.,,transfer_to_live_agent,yes,P2,0.7439852999234594,1370
conv_1277,user_3684,sess_1381,2025-08-12T12:25:16.466915,mobile_app,en,tablet,returning,1,,transfer to agent,{},human_agent,escalation,neutral,high,I understand you'd like to speak with a human agent. I'm transferring you now — please hold.,,transfer_to_live_agent,yes,P1,0.9803591048650908,1587
conv_1150,user_7009,sess_1389,2025-10-06T12:25:16.462861,mobile_app,en,tablet,returning,1,,this was easy,{},thanks,conversation_flow,positive,low,Glad I could help! That's what I'm here for. Anything else you need?,,check_if_resolved,no,P4,0.9832950356539089,1950
conv_1119,user_8833,sess_1402,2025-05-10T12:25:16.461736,mobile_app,en,desktop,returning,1,,thank u,{},thanks,conversation_flow,negative,low,I'm just glad we could work toward a resolution. I'm truly sorry about the experience and hope things improve.,,check_if_resolved,no,P4,0.9470712929847928,831
conv_1074,user_7635,sess_1402,2025-11-22T12:25:16.459619,chat,en,desktop,new,2,thank u,thank you and goodbye,{},goodbye,conversation_flow,negative,high,"Goodbye, and I sincerely apologize for the experience. We will follow up to ensure everything is resolved.",I'm just glad we could work toward a resolution. I'm truly sorry about the experience and hope things improve.,close_session,yes,P1,0.8233668592058082,1188
conv_361,user_1845,sess_1410,2025-10-31T12:25:16.436225,chat,en,tablet,new,1,,when will the hold be released,{},billing_issue,billing_and_payments,positive,low,I can help with that billing question! Let me pull up your account and take a look.,,review_billing_account,no,P4,0.9301659797561694,606
conv_623,user_6536,sess_1423,2025-11-23T12:25:16.445122,web,en,mobile,returning,1,,phone consultation,{},appointment_booking,scheduling,neutral,medium,"I can book an appointment for you. Please share your preferred date, time, and the type of appointment needed.",,check_availability_calendar,no,P3,0.8923337018448172,1388
conv_245,user_8738,sess_1437,2025-11-06T12:25:16.432254,chat,en,desktop,new,1,,ordered the wrong thing for ORD-366613,{"order_id": "ORD-366613"},cancellation,order_management,neutral,medium,I can process a cancellation for you. Please provide your order number so I can check its current status.,,check_cancellation_eligibility,no,P3,0.7357730175454873,1356
conv_1173,user_5827,sess_1437,2025-11-26T12:25:16.463610,email,en,tablet,new,2,ordered the wrong thing for ORD-366613,shipping cost,{},shipping_info,order_management,negative,high,I'm sorry you're having trouble with shipping. Let me look into the details of your delivery right away.,I can process a cancellation for you. Please provide your order number so I can check its current status.,fetch_shipping_rates,yes,P1,0.7783396659265976,1058
conv_407,user_1434,sess_1449,2025-05-07T12:25:16.437744,web,en,mobile,new,1,,website is slow,{},technical_support,technical,positive,high,Happy to help troubleshoot. Could you let me know what device and version you're using?,,run_diagnostic_check,no,P4,0.8929834308681424,970
conv_790,user_6563,sess_1451,2025-11-19T12:25:16.450520,email,en,mobile,returning,1,,seasonal product,{},product_inquiry,product,neutral,high,I can help with product information. Could you provide the product name or category you're interested in?,,fetch_product_details,no,P4,0.9199092108336332,829
conv_561,user_1469,sess_1455,2025-07-15T12:25:16.442675,chat,en,mobile,new,1,,account takeover,{},account_help,account,positive,high,Sure! I can help you with your account. What would you like to update or access?,,authenticate_and_load_account,no,P4,0.9798623181921282,1700
conv_736,user_6367,sess_1458,2025-05-04T12:25:16.448811,web,en,desktop,new,1,,compare products,{},product_inquiry,product,neutral,low,I can help with product information. Could you provide the product name or category you're interested in?,,fetch_product_details,no,P4,0.8597126287841234,1419
conv_73,user_7423,sess_1459,2026-03-27T12:25:16.425837,mobile_app,en,tablet,returning,1,,look up order by name,{},order_status,order_management,positive,low,Happy to help! I can see your order is currently being processed. Estimated delivery is within 3–5 business days.,,lookup_order_by_id,no,P4,0.7717932295403525,1140
conv_1443,user_5205,sess_1459,2026-03-30T12:25:16.472359,mobile_app,en,mobile,new,2,look up order by name,what is artificial intelligence,{},out_of_scope,out_of_scope,neutral,low,That falls outside the scope of what I can currently assist with. Is there anything else I can help you with?,Happy to help! I can see your order is currently being processed. Estimated delivery is within 3–5 business days.,request_clarification,no,P4,0.935196007536572,1744
conv_324,user_5386,sess_1460,2025-05-01T12:25:16.435010,web,en,desktop,new,1,,i got charged twice for the same thing account ACC-125220,{},billing_issue,billing_and_payments,positive,medium,No worries! Billing issues can sometimes happen. I'll review your account and get it sorted.,,review_billing_account,no,P3,0.7055426877743904,799
conv_688,user_3583,sess_1466,2025-04-29T12:25:16.447276,mobile_app,en,mobile,returning,1,,zoom appointment,{},appointment_booking,scheduling,positive,high,Sure! We have slots available this week. Would morning or afternoon work better for you?,,check_availability_calendar,no,P4,0.7227954256388804,700
conv_546,user_9939,sess_1466,2025-11-21T12:25:16.442198,email,en,tablet,new,2,zoom appointment,account ACC-322969 reset link not working,{},account_help,account,negative,medium,I apologize for the inconvenience. I'm pulling up your account details now to identify the issue.,Sure! We have slots available this week. Would morning or afternoon work better for you?,authenticate_and_load_account,no,P3,0.728725229378009,1545
conv_682,user_7583,sess_1468,2025-05-23T12:25:16.447078,email,en,desktop,new,1,,wheelchair accessible,{},appointment_booking,scheduling,negative,low,I understand your frustration. Let me personally arrange this appointment for you right now.,,check_availability_calendar,no,P4,0.8548393319295389,768
conv_422,user_6804,sess_1476,2026-02-11T12:25:16.438225,chat,en,desktop,returning,1,,checkout not working,{},technical_support,technical,positive,medium,Happy to help troubleshoot. Could you let me know what device and version you're using?,,run_diagnostic_check,no,P3,0.8235163858960748,531
conv_675,user_1339,sess_1489,2026-02-18T12:25:16.446860,email,en,desktop,new,1,,prepay for appointment,{},appointment_booking,scheduling,positive,high,Sure! We have slots available this week. Would morning or afternoon work better for you?,,check_availability_calendar,no,P4,0.7877536604754847,1986
conv_1344,user_6772,sess_1490,2025-12-14T12:25:16.469023,chat,en,tablet,new,1,,unresolved issue,{},human_agent,escalation,neutral,low,I understand you'd like to speak with a human agent. I'm transferring you now — please hold.,,transfer_to_live_agent,yes,P2,0.9594248776214565,1259
conv_865,user_1374,sess_1496,2025-06-26T12:25:16.452875,email,en,desktop,new,1,,verified purchase review,{},feedback,feedback_and_general,positive,medium,That's wonderful to hear! Your kind words mean a lot to the whole team. We'll keep up the good work!,,log_feedback_ticket,no,P3,0.8593107376870772,1059
conv_1289,user_5456,sess_1500,2025-10-20T12:25:16.467292,mobile_app,en,mobile,returning,1,,supervisor,{},human_agent,escalation,neutral,low,I understand you'd like to speak with a human agent. I'm transferring you now — please hold.,,transfer_to_live_agent,yes,P2,0.8572410090949969,1951
conv_1405,user_9894,sess_1501,2026-02-19T12:25:16.471114,chat,en,tablet,new,1,,news today,{},out_of_scope,out_of_scope,positive,medium,"Good question, but that's outside what I can assist with right now. Is there anything else I can help you with today?",,request_clarification,no,P3,0.9277530120123308,665
conv_677,user_1151,sess_1518,2025-11-17T12:25:16.446922,web,en,mobile,new,1,,bring someone with me,{},appointment_booking,scheduling,neutral,low,"I can book an appointment for you. Please share your preferred date, time, and the type of appointment needed.",,check_availability_calendar,no,P4,0.7034177857972579,802
conv_1128,user_1900,sess_1524,2025-07-12T12:25:16.462038,chat,en,tablet,returning,1,,thanks for your patience,{},thanks,conversation_flow,positive,high,Thank you for the kind words! Always happy to help. Is there anything else?,,check_if_resolved,no,P4,0.8837997373828242,927
conv_244,user_8856,sess_1528,2026-02-13T12:25:16.432223,chat,en,tablet,returning,1,,accidental order,{},cancellation,order_management,neutral,high,I can process a cancellation for you. Please provide your order number so I can check its current status.,,check_cancellation_eligibility,no,P4,0.9717173388614088,1496
conv_683,user_3022,sess_1533,2026-03-16T12:25:16.447109,email,en,tablet,returning,1,,special requirements for appointment,{},appointment_booking,scheduling,negative,medium,I'm sorry for any difficulty booking. Let me take care of this for you — what time and date would you prefer?,,check_availability_calendar,no,P3,0.967169517126586,1863
conv_612,user_9391,sess_1536,2025-05-16T12:25:16.444755,mobile_app,en,desktop,returning,1,,appointment reminder,{},appointment_booking,scheduling,negative,low,I apologize for the inconvenience. I'll ensure we get you booked in as soon as possible.,,check_availability_calendar,no,P4,0.807396566958495,1569
conv_696,user_3378,sess_1538,2026-03-31T12:25:16.447528,mobile_app,en,mobile,returning,1,,appointment reminder not received,{},appointment_booking,scheduling,positive,high,Great! I'd be happy to book an appointment for you. What date and time works best for you?,,check_availability_calendar,no,P4,0.8246079091122176,590
